date,date_ran,price,price_num,query_id,title,type,url
Dec  9,2013/12/11,$900,900.0,1,BEST DJ DEAL IN THE BRONX FOR TECHNICS 1200 TURNTABLES,electronics - by owner,newyork.craigslist.org/brx/ele/4235839722.html
Dec  8,2013/12/11,$950,950.0,1,2x Technics 1210 mk2 DJ turntables w/ Ortofon pro S needles *MUST SEE*,electronics - by owner,newyork.craigslist.org/brk/ele/4230919711.html
Dec  8,2013/12/11,$1050,1050.0,1,2x Technics 1200 MK5 - Excellent Condition,electronics - by owner,newyork.craigslist.org/mnh/ele/4229147114.html
Dec  9,2013/12/11,$850,850.0,1,2x Technics 1200 MK2 - Used - Excellent Condition,electronics - by owner,newyork.craigslist.org/mnh/ele/4236787129.html
Dec 14,2013/12/16,$750,750.0,1,2x TECHNICS 1210 MK2 PRICED TO SELL ,electronics - by owner,newyork.craigslist.org/brk/ele/4244556783.html
Dec 13,2013/12/16,$890,890.0,1,2X TECHNICS 1210 W/ ORTOFON NIGHTCLUB NEEDLES !!! ,electronics - by owner,newyork.craigslist.org/brk/ele/4243217449.html
Dec 10,2013/12/11,$1000,1000.0,1,2 mk2 1200 technics with mixer and coffin ,electronics - by owner,newyork.craigslist.org/brk/ele/4237901775.html
Dec 16,2013/12/16,$700,700.0,1,2 mk2 1200 technics with mixer and coffin ,electronics - by owner,newyork.craigslist.org/brk/ele/4237901775.html
Dec  8,2013/12/11,$350,350.0,1,2 Technics SL-1200 MK2 (one good condition one bad) + 2 Shure M35X,electronics - by owner,newyork.craigslist.org/mnh/ele/4235379989.html
Dec  8,2013/12/11,$950,950.0,1,2 Technics 1210 MK2 turntables with Ortofon OM Pro S needles,musical instruments - by owner,newyork.craigslist.org/brk/msg/4229201211.html
Dec  5,2013/12/11,$1200,1200.0,1,2 TECHNICS SL-1200 MK2'S CUSTOM,electronics - by owner,newyork.craigslist.org/wch/ele/4230076091.html
Dec 14,2013/12/16,$400,400.0,1,1 Technics 1210mk2,electronics - by owner,newyork.craigslist.org/lgi/ele/4243819969.html
Dec 16,2013/12/16,$450,450.0,1,(1) Technics 1200mk2 w/ flight case,electronics - by owner,newyork.craigslist.org/que/ele/4246016674.html
Dec 10,2013/12/11,$400,400.0,1, Technics SL- 1200 MK2,musical instruments - by owner,newyork.craigslist.org/que/msg/4238241369.html
Dec 14,2013/12/16,$850,850.0,1, 2 Technics 1200 MK2 Turntables in Cases,electronics - by owner,newyork.craigslist.org/lgi/ele/4243386861.html
